base_intent_id,domain,model_name,group_response_count,group_core_sensitivity,group_semantic_sensitivity,group_claim_risk_proxy,group_recommendation_instability,group_token_ceiling_rate
HEAL_H15,Healthcare,ChatGPT,10,0.3938000746863302,0.13027795187493432,0.8949999999999999,1.0,0.8
HEAL_H15,Healthcare,Claude,10,0.47295739285216953,0.21966779272868506,0.925,0.9982993197278911,0.0
HEAL_H15,Healthcare,Gemini,10,0.38592935308029735,0.1043179083852149,0.8949999999999999,1.0,0.0
HEAL_H16,Healthcare,ChatGPT,10,0.4878951748152449,0.23696659351110338,0.39,1.0,0.7
HEAL_H16,Healthcare,Claude,10,0.5510977628336249,0.38713571848600187,0.36,0.9871702365433729,0.0
HEAL_H16,Healthcare,Gemini,10,0.5837680820835771,0.36033138631722195,0.655,0.9963369963369964,0.0
HEAL_H17,Healthcare,ChatGPT,10,0.5100807203413384,0.27738347575113603,0.6849999999999999,0.9991319444444444,0.6
HEAL_H17,Healthcare,Claude,10,0.5546327619054493,0.33783266057543593,0.5,0.9964285714285714,0.0
HEAL_H17,Healthcare,Gemini,10,0.5628934859063451,0.2927732248442827,0.755,0.9955357142857143,0.0
HEAL_H18,Healthcare,ChatGPT,10,0.5224943230034247,0.2963399950832804,0.8550000000000001,0.9988095238095238,0.6
HEAL_H18,Healthcare,Claude,10,0.6388132715957552,0.4505242703987034,0.8400000000000001,0.9988888888888889,0.0
HEAL_H18,Healthcare,Gemini,10,0.6113703826916311,0.42250719822338995,0.7949999999999999,1.0,0.0
HEAL_H19,Healthcare,ChatGPT,10,0.4489073833483571,0.19036302862125096,0.29,0.9958295707054572,0.3
HEAL_H19,Healthcare,Claude,10,0.5036337491786742,0.26612317099288696,0.29,0.9981041456016178,0.0
HEAL_H19,Healthcare,Gemini,10,0.4628732122732063,0.18961819848248887,0.71,1.0,0.0
HEAL_H20,Healthcare,ChatGPT,10,0.5508151654401569,0.3260834356221115,0.8400000000000001,0.9976811594202898,0.8
HEAL_H20,Healthcare,Claude,10,0.5608479023505856,0.3636437616585626,0.825,0.997544935044935,0.0
HEAL_H20,Healthcare,Gemini,10,0.5905207928616021,0.3625748370576248,0.74,0.9969040247678019,0.0
MARK_M01,Marketing,ChatGPT,10,0.5911815735265791,0.43476787451036103,0.8,0.9916475705608518,0.8
